uprn,lat,lon
10001304957,50.9245025,-1.3763974
10001304958,50.9318732,-1.3759961
10001305413,50.9294091,-1.3860753
10001305414,50.9294091,-1.3860753
10001305415,50.9294091,-1.3860753
10001305416,50.9294091,-1.3860753
10001305417,50.9294091,-1.3860753
10001305418,50.9294091,-1.3860753
10001305419,50.9294091,-1.3860753
10001305420,50.9294091,-1.3860753
10001305421,50.9294091,-1.3860753
10001305422,50.9294091,-1.3860753
10001305423,50.9294091,-1.3860753
10001305663,50.9327746,-1.3713732
10001305664,50.9327746,-1.3713732
10001305665,50.9327746,-1.3713732
10001305666,50.9327746,-1.3713732
10001305667,50.9327746,-1.3713732
10001305668,50.9327746,-1.3713732
10001305669,50.9327746,-1.3713732
10001305718,50.9262643,-1.3815066
10001305719,50.9262643,-1.3815066
10001305720,50.9262643,-1.3815066
10001305721,50.9242298,-1.3743912
10001305722,50.9242298,-1.3743912
10001305723,50.9242298,-1.3743912
10001305724,50.9242298,-1.3743912
10001305734,50.9209128,-1.3881221
10001305736,50.9374405,-1.3811732
10001305741,50.920047,-1.3876497
10001305744,50.9315631,-1.3852785
10001305745,50.9315631,-1.3852785
10001305746,50.9315631,-1.3852785
10001305747,50.9315631,-1.3852785
10001305748,50.9315631,-1.3852785
10001305749,50.9315631,-1.3852785
10001305897,50.9168365,-1.3758133
10001305914,50.9218985,-1.3689591
10001305918,50.9116845,-1.3878021
10001305924,50.926253,-1.3878385
10001305928,50.928907,-1.3808046
10001305929,50.9206391,-1.3873859
10001305930,50.9219449,-1.3806838
10001305931,50.9246069,-1.379309
10001305936,50.9167803,-1.3787446
10001305992,50.9116271,-1.3854274
10001306041,50.9121721,-1.3864729
10001306046,50.9122625,-1.3869341
10001306094,50.9275194,-1.3790995
10001306109,50.9314738,-1.3872228
10001306129,50.9287261,-1.382783
10001306190,50.9134854,-1.3865409
10001306243,50.9118494,-1.3883689
10001306244,50.9120184,-1.3863042
10001306255,50.9319939,-1.3868239
10001306271,50.9246058,-1.3841609
10001306292,50.9121221,-1.3855063
10001306294,50.9243253,-1.3771074
10001306306,50.9175976,-1.366855
10001306307,50.9374073,-1.3800066
10001306337,50.9119989,-1.38602
10001306366,50.9389937,-1.3790176
10001306369,50.9395332,-1.3756515
10001306383,50.9391287,-1.3790443
10001306386,50.9119568,-1.3848684
10001306392,50.9134902,-1.3857443
10001306459,50.9192478,-1.3827805
10001306476,50.9127995,-1.3709172
10001306482,50.9100724,-1.3873254
10001306493,50.9230551,-1.3800411
10001306494,50.920423,-1.3873318
10001306496,50.9160125,-1.3630925
10001306497,50.9181098,-1.3835495
10001306499,50.9151926,-1.3628049
10001306500,50.91422,-1.3609121
